Type,Query,Truth,Match,Wrong,Missing,Overmatch,Generated,Recall,Precision,F1
,,,,,,,,,,
Ownership,2,28,23,4,1,0,27,0.821428571,0.851851852,0.836363636
Containment,2,43,43,0,0,0,43,1,1,1
,,,,,,,,,,
Ownership,3,48,24,20,4,3,47,0.5,0.510638298,0.505263158
Containment,3,57,53,0,4,3,56,0.929824561,0.946428571,0.938053097
,,,,,,,,,,
Ownership,4,24,18,4,2,3,25,0.75,0.72,0.734693878
Containment,4,26,25,0,1,3,28,0.961538462,0.892857143,0.925925926
,,,,,,,,,,
Ownership,5,14,12,2,0,2,16,0.857142857,0.75,0.8
Containment,5,16,16,0,0,2,18,1,0.888888889,0.941176471
