Type,Query,Total,Match,Wrong,Missing,Overmatch,Total wrong
,,,,,,,
Ownership,2_1,28,23,4,1,0,5
Containment,2_2,43,43,0,0,0,0
,,,,,,,
Ownership,3_1,11,6,2,3,0,5
Ownership,3_2,25,15,10,0,3,13
Ownership,3_3,12,3,8,1,0,9
Containment,3_4,16,13,0,3,0,3
Containment,3_5,25,25,0,0,3,3
Containment,3_6,16,15,0,1,0,1
,,,,,,,
Ownership,4_1,5,1,2,2,0,4
Ownership,4_2,9,8,1,0,2,3
Ownership,4_3,10,9,1,0,1,2
Containment,4_4,10,10,0,0,3,3
Containment,4_5,6,5,0,1,0,1
Containment,4_6,10,10,0,0,0,0
,,,,,,,
Ownership,5_1,4,3,1,0,1,2
Ownership,5_2,3,3,0,0,0,0
Ownership,5_3,4,3,1,0,1,2
Ownership,5_4,3,3,0,0,0,0
Containment,5_5,4,4,0,0,0,0
Containment,5_6,4,4,0,0,1,1
Containment,5_7,4,4,0,0,1,1
Containment,5_8,4,4,0,0,0,0
